stream,reach,pool,event,date,fish_species,unique_ID,subsample,index,fish_length_mm,num_fish_in_subsample,volume_occupied_all_cm3,volume_occupied_forage_cm3,avg_volume_cm3,avg_forage_volume_cm3,points_in_sample,repeat_index,matlab_color
Porter,BACI,18.8,After,2018-07-05,Okisutch,81,1,3,56.73,8,131.2419,131.24,723.14,,11,3,
Porter,BACI,18.8,After,2018-07-05,Okisutch,82,1,4,69.03,8,4187.322,904.93,723.14,,11,4,
Porter,BACI,18.8,After,2018-07-05,Okisutch,83,1,5,62.33,8,277.7312,277.73,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Hsymmetricus,84,1,6,53.63,8,NA,NA,723.14,,4,6,
Porter,BACI,18.8,After,2018-07-05,Okisutch,85,1,7,NA,8,NA,NA,723.14,,10,7,
Porter,BACI,18.8,After,2018-07-05,Omykiss,86,1,25,48.07,8,12.71295,12.71295,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Omykiss,87,2,8,41.97,8,NA,NA,723.14,,3,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,88,2,9,66.27,8,NA,3020.60,723.14,,11,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,89,2,10,55.00,8,NA,2269.35,723.14,,11,3,
Porter,BACI,18.8,After,2018-07-05,Okisutch,90,2,11,68.07,8,231.558,231.56,723.14,,11,4,
Porter,BACI,18.8,After,2018-07-05,Okisutch,91,2,12,61.43,8,2080.122,NA,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Okisutch,92,2,13,NA,8,NA,NA,723.14,,7,7,
Porter,BACI,18.8,After,2018-07-05,Omykiss,93,2,14,NA,8,NA,NA,723.14,,7,14,
Porter,BACI,18.8,After,2018-07-05,Omykiss,94,2,26,45.90,8,19.64838,4.06395,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Omykiss,95,3,15,42.20,7,220.5638,220.56,723.14,,7,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,96,3,16,67.43,7,NA,NA,723.14,,11,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,97,3,17,56.63,7,NA,166.49,723.14,,10,3,
Porter,BACI,18.8,After,2018-07-05,Okisutch,98,3,18,69.23,7,NA,3707.00,723.14,,10,4,
Porter,BACI,18.8,After,2018-07-05,Okisutch,99,3,19,63.50,7,869.9205,869.92,723.14,,10,5,
Porter,BACI,18.8,After,2018-07-05,Okisutch,100,3,20,NA,7,NA,NA,723.14,,11,14,
Porter,BACI,18.8,After,2018-07-05,Omykiss,101,3,21,47.20,7,6.732886,3.09,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Omykiss,102,4,22,43.00,7,1124.474,631.92,723.14,,11,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,103,4,23,73.83,7,NA,NA,723.14,,11,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,104,4,24,58.47,7,NA,3814.66,723.14,,11,24,Probably index 3
Porter,BACI,18.8,After,2018-07-05,Okisutch,105,4,27,59.70,7,188.1966,188.20,723.14,,11,27,Probably index 4
Porter,BACI,18.8,After,2018-07-05,Okisutch,106,4,28,63.53,7,254.7852,254.79,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Okisutch,107,4,29,NA,7,NA,NA,723.14,,11,14,
Porter,BACI,18.8,After,2018-07-05,Omykiss,108,4,30,47.17,7,35.0448,18.37,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Omykiss,109,5,31,42.10,9,1597.863,1221.35,723.14,,10,1,Three roach observed
Porter,BACI,18.8,After,2018-07-05,Okisutch,110,5,32,74.07,9,2404.467,NA,723.14,,6,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,111,5,33,63.10,9,3977.499,290.37,723.14,,6,24,
Porter,BACI,18.8,After,2018-07-05,Okisutch,112,5,34,60.90,9,168.8769,168.88,723.14,,11,27,
Porter,BACI,18.8,After,2018-07-05,Okisutch,113,5,35,64.77,9,67.94861,67.95,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Okisutch,114,5,36,NA,9,NA,NA,723.14,,11,14,
Porter,BACI,18.8,After,2018-07-05,Omykiss,115,5,37,47.00,9,13.29483,11.69,723.14,,11,21,
Porter,BACI,18.8,After,2018-07-05,Okisutch,116,5,38,53.30,9,30.50919,30.51,723.14,,11,38,
Porter,BACI,18.8,After,2018-07-05,Omykiss,117,5,39,NA,9,8.209142,NA,723.14,,4,39,
Porter,BACI,18.8,After,2018-07-05,Omykiss,118,6,41,44.10,8,NA,NA,723.14,,3,1,
Porter,BACI,18.8,After,2018-07-05,Okisutch,119,6,42,74.07,8,161.0421,161.04,723.14,,11,2,
Porter,BACI,18.8,After,2018-07-05,Okisutch,120,6,43,68.73,8,NA,NA,723.14,,11,24,
Porter,BACI,18.8,After,2018-07-05,Okisutch,121,6,44,55.33,8,81.36266,81.36,723.14,,11,27,
Porter,BACI,18.8,After,2018-07-05,Okisutch,122,6,45,64.63,8,69.43801,69.44,723.14,,11,5,
Porter,BACI,18.8,After,2018-07-05,Omykiss,123,6,46,45.23,8,503.3326,443.85,723.14,,10,21,
Porter,BACI,18.8,After,2018-07-05,Okisutch,124,6,47,53.97,8,5.192115,5.19,723.14,,8,38,
Porter,BACI,18.8,After,2018-07-05,Okisutch,125,6,48,NA,8,NA,NA,723.14,,11,14,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,126,1,1,55.10,2,54.30901,54.31,90.30,,7,1,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,127,1,5,66.20,2,NA,NA,90.30,,3,5,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,128,2,3,68.00,2,2.946299,2.946299,90.30,,6,3,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,129,2,4,89.10,2,206.0451,206.0451,90.30,,5,4,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,130,3,8,70.50,2,45.92541,45.92541,90.30,,8,8,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,131,3,9,49.50,2,40.61475,4.2227,90.30,,10,9,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,132,4,7,60.30,2,80.62148,80.62148,90.30,,10,7,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,133,4,11,56.10,2,7.007624,7.007624,90.30,,9,11,
Porter,POFW,18.2,Before,2018-06-30,Omykiss,134,5,12,62.70,1,NA,NA,90.30,,3,12,
Porter,POFW,18.2,Before,2018-07-01,Omykiss,135,6,13,69.25,1,284.935,284.935,90.30,,10,13,
Porter,POFW,18.2,After,2018-07-06,Omykiss,136,1,1,61.70,4,NA,NA,378.15,,3,1,
Porter,POFW,18.2,After,2018-07-06,Omykiss,137,1,2,64.97,4,33.11553,33.12,378.15,,6,2,
Porter,POFW,18.2,After,2018-07-06,Omykiss,138,1,3,67.07,4,35.7524,NA,378.15,,5,3,
Porter,POFW,18.2,After,2018-07-06,Omykiss,139,1,4,64.93,4,21.45202,21.45,378.15,,5,4,
Porter,POFW,18.2,After,2018-07-06,Omykiss,140,2,5,65.67,2,11.11414,11.11,378.15,,5,2,
Porter,POFW,18.2,After,2018-07-06,Omykiss,141,2,6,55.45,2,NA,NA,378.15,,1,6,
Porter,POFW,18.2,After,2018-07-06,Omykiss,142,3,7,62.55,1,806.7012,806.70,378.15,,7,7,
Porter,POFW,18.2,After,2018-07-06,Omykiss,143,4,8,66.70,3,NA,NA,378.15,,2,8,
Porter,POFW,18.2,After,2018-07-06,Omykiss,144,4,9,55.15,3,NA,NA,378.15,,1,9,
Porter,POFW,18.2,After,2018-07-06,Omykiss,145,4,10,68.90,3,NA,NA,378.15,,1,10,
Porter,POFW,18.2,After,2018-07-06,Omykiss,146,5,11,64.45,4,NA,NA,378.15,,3,11,
Porter,POFW,18.2,After,2018-07-06,Omykiss,147,5,12,68.70,4,17.45408,NA,378.15,,4,12,
Porter,POFW,18.2,After,2018-07-06,Omykiss,148,5,13,69.27,4,54.27639,103.80,378.15,,8,13,
Porter,POFW,18.2,After,2018-07-06,Omykiss,149,5,14,58.90,4,145.7974,NA,378.15,,6,14,
Porter,POFW,18.2,After,2018-07-06,Omykiss,150,6,15,79.93,2,2277.661,2277.66,378.15,,11,15,
Porter,POFW,18.2,After,2018-07-06,Omykiss,151,6,16,NA,2,NA,NA,378.15,,2,16,
