"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-04-26",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-04-27",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-04-28",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-04-29",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-04-30",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-01",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-02",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-03",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-04",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-05",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-06",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-07",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-08",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-09",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-10",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-11",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-12",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-13",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-14",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-15",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-16",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-17",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-18",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-19",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-20",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-21",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-22",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-23",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-24",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-25",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-26",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-27",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-28",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-29",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-30",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-05-31",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-01",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-02",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-03",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-04",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-05",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-06",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-07",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-08",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-09",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-10",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-11",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-12",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-13",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-14",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-15",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-16",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-17",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-18",,,,
"US1CASN0138","PETALUMA 1.4 W, CA US","2018-06-19",,,,
