,Date,avg_gpm,Min,Max,avg_clean,gpd,ac-ft,cum_ac_ft
147,5/29/18,0.25,0,30,,0,0,11.5469954058757
148,5/30/18,0,0,0,,0,0,11.5469954058757
149,5/31/18,0.0416666666666667,0,6,,0,0,11.5469954058757
150,6/1/18,0.1875,0,15,,0,0,11.5469954058757
151,6/2/18,0.104166666666667,0,9,,0,0,11.5469954058757
152,6/3/18,0.0625,0,6,,0,0,11.5469954058757
153,6/4/18,0.131944444444444,0,13,,0,0,11.5469954058757
154,6/5/18,0.0416666666666667,0,6,,0,0,11.5469954058757
155,6/6/18,0.0416666666666667,0,6,,0,0,11.5469954058757
156,6/7/18,0.194444444444444,0,22,,0,0,11.5469954058757
157,6/8/18,0.0416666666666667,0,6,,0,0,11.5469954058757
158,6/9/18,0,0,0,,0,0,11.5469954058757
159,6/10/18,0.173611111111111,0,13,,0,0,11.5469954058757
160,6/11/18,0,0,0,,0,0,11.5469954058757
161,6/12/18,0.0416666666666667,0,6,,0,0,11.5469954058757
162,6/13/18,0.3125,0,15,,0,0,11.5469954058757
163,6/14/18,0.0416666666666667,0,6,,0,0,11.5469954058757
164,6/15/18,0.0486111111111111,0,7,,0,0,11.5469954058757
165,6/16/18,0.0208333333333333,0,3,,0,0,11.5469954058757
166,6/17/18,0,0,0,,0,0,11.5469954058757
167,6/18/18,0,0,0,,0,0,11.5469954058757
168,6/19/18,0,0,0,,0,0,11.5469954058757
169,6/20/18,0.0208333333333333,0,3,,0,0,11.5469954058757
170,6/21/18,0.104166666666667,0,6,,0,0,11.5469954058757
171,6/22/18,0.305555555555556,0,19,,0,0,11.5469954058757
172,6/23/18,0.125,0,12,,0,0,11.5469954058757
173,6/24/18,0.0833333333333333,0,12,,0,0,11.5469954058757
174,6/25/18,0,0,0,,0,0,11.5469954058757
175,6/26/18,0.0625,0,6,,0,0,11.5469954058757
176,6/27/18,0,0,0,,0,0,11.5469954058757
177,6/28/18,0.576388888888889,0,25,0,0,0,11.5469954058757
178,6/29/18,13.1041666666667,0,376,13.1041666666667,18870,0.0579099036062495,11.6049053094819
179,6/30/18,374.25,368,388,374.25,538920,1.65388475100583,13.2587900604878
180,7/1/18,372.805555555556,365,382,372.805555555556,536840,1.64750146539369,14.9062915258815
181,7/2/18,370.326388888889,365,377,370.326388888889,533270,1.6365455376844,16.5428370635659
182,7/3/18,367.006944444444,359,373,367.006944444444,528490,1.62187625632574,18.1647133198916
183,7/4/18,365.9375,360,372,365.9375,526950,1.61715016986291,19.7818634897545
184,7/5/18,367.888888888889,362,378,367.888888888889,529760,1.62577374321392,21.4076372329684
185,7/6/18,333.854166666667,220,396,333.854166666667,480750,1.47536757597798,22.8830048089464
186,7/7/18,224.868055555556,220,240,224.868055555556,323810,0.993736400993092,23.8767412099395
187,7/8/18,226.527777777778,221,230,226.527777777778,326200,1.00107104167242,24.8778122516119
188,7/9/18,227.298611111111,223,251,227.298611111111,327310,1.00447750659044,25.8822897582024
189,7/10/18,225.638888888889,221,246,225.638888888889,324920,0.997142865911107,26.8794326241135
190,7/11/18,223.305555555556,217,230,223.305555555556,321560,0.986831404537657,27.8662640286511
191,7/12/18,221.118055555556,215,233,221.118055555556,318410,0.977164409500048,28.8434284381512
192,7/13/18,218.909722222222,214,223,218.909722222222,315230,0.967405347843033,29.8108337859942
193,7/14/18,200.909722222222,114,222,200.909722222222,289310,0.88785978867642,30.6986935746706
194,7/15/18,116.381944444444,114,123,116.381944444444,167590,0.514314824873945,31.2130083995446
195,7/16/18,115.458333333333,112,118,115.458333333333,166260,0.510233204746955,31.7232416042915
196,7/17/18,114.25,111,126,114.25,164520,0.504893340821418,32.228134945113
197,7/18/18,112.798611111111,110,116,112.798611111111,162430,0.498479366336147,32.7266143114491
198,7/19/18,111.993055555556,109,129,111.993055555556,161270,0.494919457052456,33.2215337685016
199,7/20/18,111.284722222222,108,143,111.284722222222,160250,0.491789191992659,33.7133229604942
200,7/21/18,110.083333333333,107,115,110.083333333333,158520,0.486480016940258,34.1998029774345
201,7/22/18,109.840277777778,107,113,109.840277777778,158170,0.485405906380524,34.685208883815
202,7/23/18,109.048611111111,106,126,109.048611111111,157030,0.481907374843103,35.1671162586581
203,7/24/18,107.659722222222,105,110,107.659722222222,155030,0.47576960021605,35.6428858588741
204,7/25/18,106.805555555556,103,117,106.805555555556,153800,0.471994868820412,36.1148807276946
205,7/26/18,105.875,103,108,105.875,152460,0.467882559820286,36.5827632875148
206,7/27/18,105.340277777778,102,107,105.340277777778,151690,0.46551951658887,37.0482828041037
207,7/28/18,104.25,102,106,104.25,150120,0.460701363506633,37.5089841676104
208,7/29/18,104.618055555556,102,107,104.618055555556,150650,0.462327873782803,37.9713120413932
209,7/30/18,105.5625,102,108,105.5625,152010,0.466501560529199,38.4378136019224
210,7/31/18,106.444444444444,103,112,106.444444444444,153280,0.470399047417378,38.9082126493397
211,8/1/18,107.361111111111,105,110,107.361111111111,154600,0.474449978671233,39.382662628011
212,8/2/18,106.958333333333,103,125,106.958333333333,154020,0.472670024029388,39.8553326520404
213,8/3/18,106.104166666667,103,109,106.104166666667,152790,0.46889529263375,40.3242279446741
214,8/4/18,105.1875,101,134,105.1875,151470,0.464844361379894,40.789072306054
