Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 5 (Omykiss),Drift_Forage 53,0:00:02:24.395/60000,144.006577,-21.526276,5.270853,13.399899,0.026349,1.241441,67.74308,
Subsample_2 5 (Omykiss),Drift_Forage 52,0:00:02:21.395/60000,141.006577,-22.16151,6.15907,12.159154,0.015681,0.623115,68.982018,
Subsample_2 5 (Omykiss),Drift_Forage 54,0:00:02:27.395/60000,147.006577,-21.072355,5.538324,14.664489,0.036897,1.478118,67.608421,
Subsample_2 5 (Omykiss),Drift_Forage 55,0:00:02:30.395/60000,150.006577,-21.357321,4.887283,12.851006,0.021748,1.194187,67.3992,
Subsample_2 6 (Omykiss),Drift_Forage 56,0:00:02:00.395/60000,120.006584,-34.104053,42.914009,29.444729,0.576652,1.645784,106.717178,
Subsample_2 6 (Omykiss),Drift_Forage 57,0:00:02:03.395/60000,123.006584,-34.367905,43.147938,29.204493,0.575574,1.958229,107.024261,
Subsample_2 6 (Omykiss),Drift_Forage 58,0:00:02:06.395/60000,126.006584,-31.707382,38.683304,24.608328,0.435114,1.506463,101.626328,
Subsample_2 6 (Omykiss),Search_Forage 59,0:00:02:09.395/60000,129.006577,-11.089192,36.657261,17.124126,0.16788,2.126989,92.731926,
Subsample_2 6 (Omykiss),Search_Forage 60,0:00:02:12.395/60000,132.006577,22.345396,28.578291,17.454411,0.01508,2.789518,77.921066,
Subsample_2 6 (Omykiss),Search_Forage 61,0:00:02:15.395/60000,135.006577,71.237396,62.993378,24.199121,0.181792,2.734081,114.253738,
Subsample_2 6 (Omykiss),Search_Forage 62,0:00:02:18.395/60000,138.006577,82.37207,80.302994,33.584347,0.484013,2.703068,134.401474,
Subsample_2 6 (Omykiss),Length 64,0:00:02:12.25938/60000,132.432297,30.485334,31.795752,17.908411,0.033746,0.394889,79.609238,
Subsample_2 6 (Omykiss),Length 63,0:00:02:10.58851/60000,130.98085,6.246089,30.461313,15.096695,0.042982,1.995248,83.974342,
Subsample_2 6 (Omykiss),Length 63,0:00:02:10.58851/60000,130.98085,0.434557,29.235126,15.153055,0.057871,2.720796,83.349709,
Subsample_2 6 (Omykiss),Length 64,0:00:02:12.25938/60000,132.432297,24.336611,31.512959,17.539206,0.01318,0.432616,80.345383,
Subsample_2 7 (Omykiss),Length 70,0:00:02:04.39472/60000,124.657867,8.48172,14.494285,10.781163,0.032906,0.192435,68.516968,
Subsample_2 7 (Omykiss),Length 69,0:00:02:06.395/60000,126.006584,19.606174,16.757505,9.324735,0.013669,1.050923,68.600975,
Subsample_2 7 (Omykiss),Length 70,0:00:02:04.39472/60000,124.657867,13.290414,14.066298,10.397497,0.030874,0.162518,68.085564,
Subsample_2 7 (Omykiss),Length 67,0:00:02:00.59252/60000,120.987534,18.943569,24.95875,18.303564,0.01718,1.108999,75.235435,
Subsample_2 7 (Omykiss),Search_Forage 66,0:00:02:03.395/60000,123.006584,10.057391,19.583582,13.718589,0.011052,0.588762,73.105164,
Subsample_2 7 (Omykiss),Length 67,0:00:02:00.59252/60000,120.987534,23.713783,26.020029,19.101597,0.037217,1.843672,75.001701,
Subsample_2 7 (Omykiss),Search_Forage 65,0:00:02:00.395/60000,120.006584,23.657663,22.01553,17.350163,0.035065,1.80595,71.269981,
Subsample_2 7 (Omykiss),Search_Forage 68,0:00:02:06.395/60000,126.006584,19.665714,16.520994,9.403399,0.014024,1.265046,68.346367,
Subsample_2 7 (Omykiss),Length 69,0:00:02:06.395/60000,126.006584,14.864485,16.15103,9.563986,0.026737,0.263264,69.570419,
Subsample_3 8 (Omykiss),Drift_Forage 73,0:00:03:36.395/60000,216.006577,-31.45393,6.434896,13.962059,0.03814,2.023205,74.024574,
Subsample_3 8 (Omykiss),Drift_Forage 72,0:00:03:33.395/60000,213.006577,-30.434814,6.915797,12.922447,0.029489,1.367044,73.938469,
Subsample_3 8 (Omykiss),Drift_Forage 71,0:00:03:30.395/60000,210.006577,-29.963449,7.097096,11.618945,0.016848,1.18517,73.983322,
Subsample_3 8 (Omykiss),Drift_Forage 83,0:00:03:51.395/60000,231.006577,-31.058008,8.80574,12.581199,0.029811,1.219261,75.871201,
Surface_Shots 3,Point 77,0:00:03:36.395/60000,216.006577,-33.492268,50.907364,34.087822,0.709045,2.861533,114.124855,
Subsample_3 8 (Omykiss),Length 75,0:00:03:39.395/60000,219.006577,-31.797333,6.924437,12.831063,0.029192,1.596462,74.744759,
Subsample_3 8 (Omykiss),Drift_Forage 81,0:00:03:45.395/60000,225.006577,-30.60993,8.76667,11.919057,0.021864,1.375215,75.669029,
Subsample_3 8 (Omykiss),Length 76,0:00:03:36.395/60000,216.006577,-27.687153,10.076513,12.48098,0.028093,1.249199,75.092255,
