All measured points in VidSync project Porter_BACI_JTPool_30June2018_Part1
Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_2 4 (Omykiss),Length 32,0:00:10:42.45527/60000,642.758789,24.473934,66.912109,5.721998,0.209578,0.493029,117.486794,"LC: screen={1151.557617187500000,596.760864257812000} undistorted={1152.104858398440000,597.018432617188000} calibrationFrameFront={14.175622646673600,6.040628651716620} calibrationFrameBack={17.341457087119300,5.874504936569880}""RC: screen={1049.097656250000000,537.595275878906000} undistorted={1049.343261718750000,537.582336425781000} calibrationFrameFront={31.691088919773700,5.706982926843970} calibrationFrameBack={29.590995100807700,5.814943872902300}"
Subsample_2 4 (Omykiss),Drift_Forage 29,0:00:10:54.175/60000,654.002930,13.953190,60.030674,7.055328,0.190406,0.444809,111.296890,"LC: screen={1071.918457031250000,604.400024414062000} undistorted={1072.054565429690000,604.530883789062000} calibrationFrameFront={9.829405051577340,6.639561933917500} calibrationFrameBack={11.283568930785600,6.650750892552740}""RC: screen={955.179870605469000,549.484313964844000} undistorted={955.182922363281000,549.484802246094000} calibrationFrameFront={26.578696973325000,6.312054093609860} calibrationFrameBack={22.421947791129600,6.601658147651590}"
Subsample_2 3 (Omykiss),Length 19,0:00:10:33.49992/60000,633.833191,-14.931923,49.037247,6.769701,0.142133,2.128371,102.274231,"RC: screen={682.726257324219000,551.398010253906000} undistorted={680.925170898438000,551.461547851562000} calibrationFrameFront={10.846731002475200,6.337165737693700} calibrationFrameBack={0.319359244780336,6.430920863715850}""LC: screen={810.653137207031000,589.056152343750000} undistorted={810.134094238281000,589.278869628906000} calibrationFrameFront={-4.514825015051200,6.441510343736740} calibrationFrameBack={-8.771359756550030,6.170385129442940}"
Subsample_2 4 (Omykiss),Length 31,0:00:10:33.51994/60000,633.866577,22.874571,66.289505,4.259362,0.205604,0.238601,117.059250,"LC: screen={1140.094726562500000,585.296875000000000} undistorted={1140.529907226560000,585.485168457031000} calibrationFrameFront={13.522381102312100,5.443048357133230} calibrationFrameBack={16.439192121047800,5.029677242073770}""RC: screen={1035.665527343750000,525.199829101562000} undistorted={1035.844238281250000,525.168701171875000} calibrationFrameFront={30.974619292745400,5.040208272249230} calibrationFrameBack={28.595091439523200,4.864072731165610}"
Subsample_2 3 (Omykiss),Length 19,0:00:10:33.49992/60000,633.833191,-21.220434,49.777157,9.450446,0.149239,1.030928,104.523010,"LC: screen={753.407958984375000,614.240722656250000} undistorted={752.176208496094000,614.767700195312000} calibrationFrameFront={-7.612523407533400,7.963944884143630} calibrationFrameBack={-13.135895319282300,8.265159708384250}""RC: screen={635.001220703125000,571.813537597656000} undistorted={632.056823730469000,572.114135742188000} calibrationFrameFront={7.889573918542590,7.492618335272260} calibrationFrameBack={-3.836098517777430,8.025829551538490}"
Subsample_2 3 (Omykiss),Length 20,0:00:10:34.19021/60000,634.317017,-15.958329,48.984173,8.348177,0.145749,0.127816,102.459618,"RC: screen={674.101867675781000,563.450622558594000} undistorted={672.111450195312000,563.614318847656000} calibrationFrameFront={10.312203442257900,7.019001876334860} calibrationFrameBack={-0.428852153351057,7.387931165023380}""LC: screen={800.320434570312000,605.290649414062000} undistorted={799.670166015625000,605.611450195312000} calibrationFrameFront={-5.040960099559140,7.353063822988600} calibrationFrameBack={-9.519092740473530,7.442789906935130}"
Subsample_2 3 (Omykiss),Length 20,0:00:10:34.19021/60000,634.317017,-20.833618,44.721748,10.131730,0.122744,1.189862,99.575134,"LC: screen={743.507690429688000,619.792114257812000} undistorted={742.105773925781000,620.398559570312000} calibrationFrameFront={-8.146638816540570,8.293339024261090} calibrationFrameBack={-13.889740693614800,8.720617737120890}""RC: screen={613.530090332031000,582.084411621094000} undistorted={609.959777832031000,582.545776367188000} calibrationFrameFront={6.536866053077370,8.083108229844670} calibrationFrameBack={-5.735513881922520,8.842561379122130}"
Subsample_2 4 (Omykiss),Length 32,0:00:10:42.45527/60000,642.758789,18.399349,60.569672,7.515882,0.186265,2.564872,112.049522,"LC: screen={1108.593750000000000,607.695312500000000} undistorted={1108.882202148440000,607.901123046875000} calibrationFrameFront={11.843112152614500,6.733692869958470} calibrationFrameBack={14.087773416693400,6.810707401936240}""RC: screen={992.899963378906000,555.206298828125000} undistorted={992.940063476562000,555.212890625000000} calibrationFrameFront={28.640258164071900,6.630549301421440} calibrationFrameBack={25.308213327927700,7.077849427652470}"
Subsample_2 4 (Omykiss),Drift_Forage 27,0:00:10:48.175/60000,648.002930,14.886279,63.767475,1.686224,0.195791,0.247042,115.182144,"RC: screen={968.454711914062000,504.560852050781000} undistorted={968.473388671875000,504.542999267578000} calibrationFrameFront={27.332528346922200,3.896751279315990} calibrationFrameBack={23.498361499912700,3.198404999400400}""LC: screen={1079.162109375000000,561.331176757812000} undistorted={1079.270263671880000,561.380554199219000} calibrationFrameFront={10.130639956160100,4.280229463655640} calibrationFrameBack={11.728890276269400,3.353590260305520}"
Subsample_2 4 (Omykiss),Drift_Forage 30,0:00:10:57.175/60000,657.002930,15.686244,62.455738,6.863692,0.201497,0.530804,113.844627,"RC: screen={973.286010742188000,546.565734863281000} undistorted={973.299499511719000,546.566345214844000} calibrationFrameFront={27.573866625692100,6.160510119941710} calibrationFrameBack={23.818127748627200,6.400830811838660}""LC: screen={1084.820312500000000,604.206176757812000} undistorted={1084.998657226560000,604.356323242188000} calibrationFrameFront={10.534496675197300,6.599044819813580} calibrationFrameBack={12.266538515127900,6.603973995021560}"
